cygnus skew_calibration
version 1.0
ch1 thru 0.0 0x0
ch1 t0 2222.5 0x7f
ch1 t1 2280.0 0x90
ch1 t2 3872.5 0xeb
ch1 t3 3155.0 0xc2
ch1 t4 3102.5 0xbf
ch1 t5 2490.0 0x9c
ch1 t6 2507.5 0x9d
ch1 t7 4222.5 0xff
ch1 t8 4000.0 0x100
ch1 Origin 3280.0 0xc0
ch2 thru 112.0 0x0
ch2 t0 2404.0 0x7f
ch2 t1 2504.0 0x90
ch2 t2 4120.0 0xeb
ch2 t3 3392.0 0xc2
ch2 t4 3344.0 0xbf
ch2 t5 2740.0 0x9c
ch2 t6 2748.0 0x9d
ch2 t7 4504.0 0xff
ch2 t8 4172.0 0x100
ch2 Origin 3120.0 0xc0
ch3 thru 0.0 0x0
ch3 t0 2222.5 0x7f
ch3 t1 2280.0 0x90
ch3 t2 3872.5 0xeb
ch3 t3 3155.0 0xc2
ch3 t4 3102.5 0xbf
ch3 t5 2490.0 0x9c
ch3 t6 2507.5 0x9d
ch3 t7 4222.5 0xff
ch3 t8 4000.0 0x100
ch3 Origin 3120.0 0xc0
